Effective date ,Dow Jones Commodity Index Gold TR,,,,,,,,
2015/5/4,382.38,,,,,,,,
2015/5/5,384.44,,,,,,,,
2015/5/6,383.51,,,,,,,,
2015/5/7,380.9,,,,,,,,
2015/5/8,383.06,,,,,,,,
2015/5/11,381.15,,,,,,,,
2015/5/12,384.17,,,,,,,,
2015/5/13,392.48,,,,,,,,
2015/5/14,394.73,,,,,,,,
2015/5/15,394.77,,,,,,,,
2015/5/18,395.51,,,,,,,,
2015/5/19,388.78,,,,,,,,
2015/5/20,389.46,,,,,,,,
2015/5/21,387.94,,,,,,,,
2015/5/22,387.88,,,,,,,,
2015/5/26,382.37,,,,,,,,
2015/5/27,381.96,,,,,,,,
2015/5/28,382.7,,,,,,,,
2015/5/29,383.02,,,,,,,,
2015/6/1,382.67,,,,,,,,
2015/6/2,384.5,,,,,,,,
2015/6/3,381.44,,,,,,,,
2015/6/4,378.32,,,,,,,,
2015/6/5,376.03,,,,,,,,
2015/6/8,377.81,,,,,,,,
2015/6/9,379.09,,,,,,,,
2015/6/10,381.99,,,,,,,,
2015/6/11,379.99,,,,,,,,
2015/6/12,379.61,,,,,,,,
2015/6/15,381.73,,,,,,,,
2015/6/16,380.16,,,,,,,,
2015/6/17,378.84,,,,,,,,
2015/6/18,386.95,,,,,,,,
2015/6/19,386.92,,,,,,,,
2015/6/22,381.19,,,,,,,,
2015/6/23,378.77,,,,,,,,
2015/6/24,377.58,,,,,,,,
2015/6/25,377.23,,,,,,,,
2015/6/26,377.68,,,,,,,,
2015/6/29,379.55,,,,,,,,
2015/6/30,377.23,,,,,,,,
2015/7/1,376.42,,,,,,,,
2015/7/2,374.56,,,,,,,,
2015/7/6,377.68,,,,,,,,
2015/7/7,371.05,,,,,,,,
2015/7/8,374.56,,,,,,,,
2015/7/9,373.17,,,,,,,,
2015/7/10,372.76,,,,,,,,
2015/7/13,371.95,,,,,,,,
2015/7/14,371.32,,,,,,,,
2015/7/15,369.36,,,,,,,,
2015/7/16,368.2,,,,,,,,
2015/7/17,364.18,,,,,,,,
2015/7/20,356.06,,,,,,,,
2015/7/21,354.9,,,,,,,,
2015/7/22,351.04,,,,,,,,
2015/7/23,351.85,,,,,,,,
2015/7/24,348.92,,,,,,,,
2015/7/27,352.43,,,,,,,,
2015/7/28,352.36,,,,,,,,
2015/7/29,351.27,,,,,,,,
2015/7/30,349.79,,,,,,,,
2015/7/31,351.85,,,,,,,,
2015/8/3,350.02,,,,,,,,
2015/8/4,350.44,,,,,,,,
2015/8/5,348.8,,,,,,,,
2015/8/6,350.25,,,,,,,,
2015/8/7,351.53,,,,,,,,
2015/8/10,354.75,,,,,,,,
2015/8/11,355.91,,,,,,,,
2015/8/12,361.02,,,,,,,,
2015/8/13,358.45,,,,,,,,
2015/8/14,357.52,,,,,,,,
2015/8/17,359.35,,,,,,,,
2015/8/18,358.87,,,,,,,,
2015/8/19,362.41,,,,,,,,
2015/8/20,370.54,,,,,,,,
2015/8/21,372.6,,,,,,,,
2015/8/24,370.67,,,,,,,,
2015/8/25,365.75,,,,,,,,
2015/8/26,361.35,,,,,,,,
2015/8/27,360.71,,,,,,,,
2015/8/28,364.37,,,,,,,,
2015/8/31,363.89,,,,,,,,
2015/9/1,366.24,,,,,,,,
2015/9/2,364.25,,,,,,,,
2015/9/3,361.33,,,,,,,,
2015/9/4,360.33,,,,,,,,
2015/9/8,360.21,,,,,,,,
2015/9/9,354.1,,,,,,,,
2015/9/10,356.45,,,,,,,,
2015/9/11,354.52,,,,,,,,
2015/9/14,355.94,,,,,,,,
2015/9/15,354.3,,,,,,,,
2015/9/16,359.57,,,,,,,,
2015/9/17,358.93,,,,,,,,
2015/9/18,365.61,,,,,,,,
2015/9/21,364.01,,,,,,,,
2015/9/22,361.44,,,,,,,,
2015/9/23,363.59,,,,,,,,
2015/9/24,370.76,,,,,,,,
2015/9/25,368.12,,,,,,,,
2015/9/28,363.65,,,,,,,,
2015/9/29,362.08,,,,,,,,
2015/9/30,358.35,,,,,,,,
2015/10/1,357.87,,,,,,,,
2015/10/2,365.23,,,,,,,,
2015/10/5,365.55,,,,,,,,
2015/10/6,368.38,,,,,,,,
2015/10/7,369.12,,,,,,,,
2015/10/8,367.7,,,,,,,,
2015/10/9,371.43,,,,,,,,
2015/10/12,374.19,,,,,,,,
2015/10/13,374.48,,,,,,,,
2015/10/14,379.11,,,,,,,,
2015/10/15,381.59,,,,,,,,
2015/10/16,380.17,,,,,,,,
2015/10/19,376.86,,,,,,,,
2015/10/20,378.37,,,,,,,,
2015/10/21,375.03,,,,,,,,
2015/10/22,374.71,,,,,,,,
2015/10/23,373.65,,,,,,,,
2015/10/26,374.74,,,,,,,,
2015/10/27,374.61,,,,,,,,
2015/10/28,377.92,,,,,,,,
2015/10/29,368.67,,,,,,,,
2015/10/30,366.77,,,,,,,,
2015/11/2,365.01,,,,,,,,
2015/11/3,358,,,,,,,,
2015/11/4,355.47,,,,,,,,
2015/11/5,354.82,,,,,,,,
2015/11/6,349.52,,,,,,,,
2015/11/9,349.65,,,,,,,,
2015/11/10,349.77,,,,,,,,
2015/11/11,348.56,,,,,,,,
2015/11/12,347.28,,,,,,,,
2015/11/13,347.28,,,,,,,,
2015/11/16,348.12,,,,,,,,
2015/11/17,343.27,,,,,,,,
2015/11/18,343.24,,,,,,,,
2015/11/19,346.2,,,,,,,,
2015/11/20,345.62,,,,,,,,
2015/11/23,342.51,,,,,,,,
2015/11/24,344.67,,,,,,,,
2015/11/25,343.51,,,,,,,,
2015/11/27,339.18,,,,,,,,
2015/11/30,342.1,,,,,,,,
2015/12/1,341.53,,,,,,,,
2015/12/2,338.42,,,,,,,,
2015/12/3,340.79,,,,,,,,
2015/12/4,348.15,,,,,,,,
2015/12/7,345.3,,,,,,,,
2015/12/8,345.33,,,,,,,,
2015/12/9,345.72,,,,,,,,
2015/12/10,344.28,,,,,,,,
2015/12/11,345.47,,,,,,,,
2015/12/14,341.53,,,,,,,,
2015/12/15,340.95,,,,,,,,
2015/12/16,345.84,,,,,,,,
2015/12/17,337.1,,,,,,,,
2015/12/18,342.05,,,,,,,,
2015/12/21,347.07,,,,,,,,
2015/12/22,344.98,,,,,,,,
2015/12/23,343.12,,,,,,,,
2015/12/24,345.57,,,,,,,,
2015/12/28,343.14,,,,,,,,
2015/12/29,343.04,,,,,,,,
2015/12/30,340.41,,,,,,,,
2015/12/31,340.54,,,,,,,,
2016/1/4,345.37,,,,,,,,
2016/1/5,346.4,,,,,,,,
2016/1/6,350.74,,,,,,,,
2016/1/7,355.85,,,,,,,,
2016/1/8,352.67,,,,,,,,
2016/1/11,352.11,,,,,,,,
2016/1/12,348.55,,,,,,,,
2016/1/13,349.19,,,,,,,,
2016/1/14,344.8,,,,,,,,
2016/1/15,350.29,,,,,,,,
2016/1/19,349.76,,,,,,,,
2016/1/20,355.22,,,,,,,,
2016/1/21,352.59,,,,,,,,
2016/1/22,352.08,,,,,,,,
2016/1/25,355.07,,,,,,,,
2016/1/26,359.89,,,,,,,,
2016/1/27,358.51,,,,,,,,
2016/1/28,358.45,,,,,,,,
2016/1/29,358.55,,,,,,,,
2016/2/1,362.29,,,,,,,,
2016/2/2,362.03,,,,,,,,
2016/2/3,366.56,,,,,,,,
2016/2/4,371.77,,,,,,,,
2016/2/5,371.84,,,,,,,,
2016/2/8,384.76,,,,,,,,
2016/2/9,384.99,,,,,,,,
2016/2/10,383.71,,,,,,,,
2016/2/11,400.8,,,,,,,,
2016/2/12,398.11,,,,,,,,
2016/2/16,388.1,,,,,,,,
2016/2/17,389.13,,,,,,,,
2016/2/18,393.92,,,,,,,,
2016/2/19,395.37,,,,,,,,
2016/2/22,388.73,,,,,,,,
2016/2/23,392.75,,,,,,,,
2016/2/24,398.05,,,,,,,,
2016/2/25,397.96,,,,,,,,
2016/2/26,392.05,,,,,,,,
2016/2/29,396.56,,,,,,,,
2016/3/1,395.41,,,,,,,,
2016/3/2,398.94,,,,,,,,
2016/3/3,404.22,,,,,,,,
2016/3/4,408.23,,,,,,,,
2016/3/7,406.09,,,,,,,,
2016/3/8,405.75,,,,,,,,
2016/3/9,403.97,,,,,,,,
2016/3/10,408.94,,,,,,,,
2016/3/11,404.67,,,,,,,,
2016/3/14,400.09,,,,,,,,
2016/3/15,395.54,,,,,,,,
2016/3/16,395.15,,,,,,,,
2016/3/17,406.49,,,,,,,,
